user_id,partner_id,convo_id,pre_affect,pre_arousal,begin_affect,middle_affect,affect,arousal,overall_affect,end_affect,worst_affect,how_enjoyable,i_like_you,you_like_me,sex,politics,race,edu,employ,age,shared_reality,my_loneliness,your_loneliness
5c8be0dd542fbd0016924f5f,5f2f6bd965964e35e20c7445,3a51d3fd-a343-4177-b48e-a694a14c5891,6,7,6,7,8,7,8,8,5,8,6,6,male,1,white,bachelors_degree,1,29,5.125,1,1
5f2f6bd965964e35e20c7445,5c8be0dd542fbd0016924f5f,3a51d3fd-a343-4177-b48e-a694a14c5891,8,8,7,8,9,8,8,8,5,9,7,6,female,2,white,bachelors_degree,3,52,4.75,2,1
55a43cf3fdf99b02ff6cb0b4,5f220462c16ecb68c97ccad9,0c6b3a4a-7832-44ea-8830-ff727f2b803c,4,5,4,6,6,6,6,6,4,6,6,5,female,6,mixed,masters_degree,1,44,4.375,2,1
5f220462c16ecb68c97ccad9,55a43cf3fdf99b02ff6cb0b4,0c6b3a4a-7832-44ea-8830-ff727f2b803c,7,6,7,7,7,7,7,7,6,7,5,5,male,1,asian,bachelors_degree,1,44,4,1,2
558a327cfdf99b2d75651681,5687d85e369319000c269c55,7e6aa47d-10b5-4603-aee5-c2c1f2c8aa25,7,3,8,8,7,5,8,8,8,8,7,6,male,4,white,masters_degree,1,54,6.125,,1
5687d85e369319000c269c55,558a327cfdf99b2d75651681,7e6aa47d-10b5-4603-aee5-c2c1f2c8aa25,8,5,8,8,9,9,9,9,9,9,7,6,male,6,asian,bachelors_degree,1,38,6.375,,2
5c43c90d5aca820001f73f6f,5e4a1730c94447480594cea4,30d35ce8-1e0f-4c09-ac7d-5ff9737c8ac2,5,5,5,6,6,5,6,6,5,7,5,5,male,3,white,some_college,1,33,3.75,,2
5e4a1730c94447480594cea4,5c43c90d5aca820001f73f6f,30d35ce8-1e0f-4c09-ac7d-5ff9737c8ac2,4,4,4,5,6,5,6,6,4,6,4,4,female,6,white,bachelors_degree,1,33,4.125,2,1.333333333
5cc604bd3bbb120018a3c0e2,5e0acbffdc79bd35336ed6e0,67836c1d-1334-41a0-a33a-4f788e8b6fb3,7,4,6,5,8,7,7,6,5,7,5,5,male,4,white,some_college,1,31,4.125,,
5e0acbffdc79bd35336ed6e0,5cc604bd3bbb120018a3c0e2,67836c1d-1334-41a0-a33a-4f788e8b6fb3,6,6,6,7,7,7,7,7,5,7,6,5,female,4,asian,some_college,1,20,4.25,,
5987c9f26ab9880001b5b04d,5f1f2cf5a441a30fa1b79b2d,19ebf7f7-5bbf-4a8c-a94f-1b7d2decddbf,6,7,7,8,7,7,9,8,5,8,6,5,female,2,white,some_college,7,21,4.875,,2
5f1f2cf5a441a30fa1b79b2d,5987c9f26ab9880001b5b04d,19ebf7f7-5bbf-4a8c-a94f-1b7d2decddbf,5,6,6,7,7,6,7,7,7,7,6,6,male,3,white,bachelors_degree,7,22,3.5,,2
5b5e7e643bac1d0001f9bf28,5f5452df72345118f58d187b,ee46e110-4a40-4fcd-ac56-467c1f8f1c97,6,4,6,7,8,6,8,8,6,8,7,7,male,6,white,masters_degree,7,33,4.75,,1.666666667
5f5452df72345118f58d187b,5b5e7e643bac1d0001f9bf28,ee46e110-4a40-4fcd-ac56-467c1f8f1c97,8,8,8,7,6,6,6,6,6,6,6,4,male,1,white,some_college,6,56,3.875,,2.333333333
5ed1e0f7ba6548028fc64722,5f641cfa0c8b8b19b424aa4d,1a19835c-4dd1-4d29-b945-e0b25285a26a,4,7,3,7,7,4,7,7,8,7,7,5,female,6,hispanic_or_latino,some_college,2,19,4.5,,2
5f641cfa0c8b8b19b424aa4d,5ed1e0f7ba6548028fc64722,1a19835c-4dd1-4d29-b945-e0b25285a26a,6,8,7,7,8,3,8,8,5,8,6,4,female,4,white,bachelors_degree,1,31,5.75,,2.333333333
5a73899f9cdd1800017786f0,5edcadb5e81cb9000c4b07e0,17e0d586-466b-4911-903d-eae6de438b55,7,6,7,7,8,7,8,8,6,7,5,4,male,3,white,completed_high_school,1,34,4.75,,2
5edcadb5e81cb9000c4b07e0,5a73899f9cdd1800017786f0,17e0d586-466b-4911-903d-eae6de438b55,2,7,6,7,7,7,5,5,5,7,5,2,female,4,mixed,some_college,7,19,5.125,3,1.666666667
5ec5b367ec26b761ec0fc87d,5f6b75742bd7e60776191cb4,69fef050-eda2-4dbd-957a-80a8ae7112f4,5,3,4,4,4,4,4,3,3,5,4,3,female,4,white,associate_degree,4,28,4.125,,1
5f6b75742bd7e60776191cb4,5ec5b367ec26b761ec0fc87d,69fef050-eda2-4dbd-957a-80a8ae7112f4,1,1,1,3,4,4,5,4,2,6,6,5,male,4,hispanic_or_latino,some_college,7,19,4.5,,3
5eaf77532b6845665ddefd09,5eaf89868dc798686228174b,deb20645-0818-4d86-ae9b-267463c14a9b,6,5,7,6,8,7,8,8,6,9,7,6,male,2,white,some_college,7,19,4.125,2.333333333,1.666666667
5eaf89868dc798686228174b,5eaf77532b6845665ddefd09,deb20645-0818-4d86-ae9b-267463c14a9b,5,5,5,6,6,6,6,6,4,6,6,4,female,4,black_or_african_american,bachelors_degree,7,57,4,1.666666667,2
5dd28beafce6062a4f5221b3,5f9b44bb3e13ec35fc8894d0,2f9de920-25a3-4bb4-b7a8-eb83e5d0cfe2,9,5,6,5,7,5,7,8,5,7,6,5,female,2,white,bachelors_degree,6,35,5.25,,1.666666667
5f9b44bb3e13ec35fc8894d0,5dd28beafce6062a4f5221b3,2f9de920-25a3-4bb4-b7a8-eb83e5d0cfe2,5,5,5,6,6,6,6,6,5,7,5,5,female,4,white,bachelors_degree,1,34,5.375,,2
5e57613a151c201197693dd3,5ec44240144f4f30a24e7aeb,968d0076-2a23-4791-8136-9e65bd76c6b8,6,7,8,7,7,7,8,8,5,8,6,5,male,4,mixed,some_college,1,20,5.75,2,2
5ec44240144f4f30a24e7aeb,5e57613a151c201197693dd3,968d0076-2a23-4791-8136-9e65bd76c6b8,6,4,9,9,9,7,9,9,9,9,7,7,female,6,white,bachelors_degree,4,38,3.125,3,1
5de7b588ff15c2a06658dd1d,5ec81134ac7d6b2b9ac51453,536675d6-80db-4db0-adb7-dfd3c5b6759b,4,2,5,6,6,6,7,7,6,7,6,6,female,4,white,masters_degree,7,37,3.25,,1
5ec81134ac7d6b2b9ac51453,5de7b588ff15c2a06658dd1d,536675d6-80db-4db0-adb7-dfd3c5b6759b,8,8,7,5,9,9,9,9,5,8,7,6,male,4,asian,some_college,3,41,5.5,,1
5aaf4b0ce1546900019b01de,5fa6006c1355231e6094a472,a003874c-1d39-4924-857f-94a865951ae9,7,7,7,7,8,8,9,7,6,8,6,5,female,4,white,bachelors_degree,1,39,3.375,,2
5fa6006c1355231e6094a472,5aaf4b0ce1546900019b01de,a003874c-1d39-4924-857f-94a865951ae9,6,5,6,5,5,5,5,5,4,5,5,4,female,6,asian,some_college,7,21,3.25,,1
5efd4df059990518c92eca95,5f053720c017078437e04818,30394916-22b4-46ba-b8b4-61ad3662e837,4,3,5,6,6,4,6,5,5,7,5,4,male,6,mixed,some_college,7,20,2,,2
5f053720c017078437e04818,5efd4df059990518c92eca95,30394916-22b4-46ba-b8b4-61ad3662e837,5,4,6,5,6,4,6,5,5,4,3,3,male,2,asian,bachelors_degree,1,39,2.875,,2
5a7b2b52000dab00018c402b,5a91877e777df200015fa0f5,a66d648b-650a-42e9-b8f2-26ef0ab4a98e,7,3,4,5,7,4,5,5,3,6,5,4,female,6,white,bachelors_degree,1,29,4.625,,1
5a91877e777df200015fa0f5,5a7b2b52000dab00018c402b,a66d648b-650a-42e9-b8f2-26ef0ab4a98e,9,5,7,4,6,7,5,6,6,1,2,3,female,4,white,masters_degree,1,61,3.625,,2
5bd086bbc3b40e0001df9551,5f4c5105ad5ee685d48bcca2,5fcf9d0c-2f1d-44e5-bfc2-585ba1951f71,5,6,6,6,7,6,7,7,6,7,6,5,male,3,white,some_college,2,29,5.125,2.333333333,2
5f4c5105ad5ee685d48bcca2,5bd086bbc3b40e0001df9551,5fcf9d0c-2f1d-44e5-bfc2-585ba1951f71,9,9,9,9,9,9,9,9,9,9,7,7,male,3,asian,associate_degree,1,35,5.875,,1
5b97f8988ae8150001c7a887,5f71eef2e138fe08fba1d131,e2625bba-6a92-41db-80d9-699b9d7329d1,7,5,6,7,7,7,8,8,5,7,6,5,male,4,white,bachelors_degree,1,42,5.125,2,1.333333333
5f71eef2e138fe08fba1d131,5b97f8988ae8150001c7a887,e2625bba-6a92-41db-80d9-699b9d7329d1,7,5,7,7,7,7,7,7,6,7,5,4,male,6,white,bachelors_degree,1,30,3.875,1.666666667,2.333333333
5e53036cd91a8232a99e60fb,5e8727fb90c37002d97ca052,56ee9fdd-486c-4709-82f7-485322ed4a05,3,5,6,7,6,5,8,7,4,8,6,5,female,3,asian,masters_degree,1,25,3.5,,
5e8727fb90c37002d97ca052,5e53036cd91a8232a99e60fb,56ee9fdd-486c-4709-82f7-485322ed4a05,7,7,6,7,8,8,8,8,6,7,6,5,female,4,white,masters_degree,1,40,5.375,,
5ec00f62cf12be40ea6fe344,5f4da0c092c4bb080b6c0ebb,a7f88eac-652d-4b0e-b86b-4e0666542e3e,3,4,5,7,7,7,7,6,6,7,6,5,female,2,white,associate_degree,1,46,4.5,,1
5f4da0c092c4bb080b6c0ebb,5ec00f62cf12be40ea6fe344,a7f88eac-652d-4b0e-b86b-4e0666542e3e,5,4,5,6,8,5,7,5,4,9,6,5,female,6,white,completed_high_school,1,65,3.75,,1.666666667
5c7c73b6f48c6d0001f6f49c,5eee306006ab9629fb76858c,bf7ad7be-febc-4b11-b25e-4c27e8b8a89d,8,8,9,9,9,9,9,9,9,9,7,7,male,3,black_or_african_american,associate_degree,1,26,5.875,,1
5eee306006ab9629fb76858c,5c7c73b6f48c6d0001f6f49c,bf7ad7be-febc-4b11-b25e-4c27e8b8a89d,8,7,6,7,8,8,9,8,7,8,7,5,female,4,black_or_african_american,bachelors_degree,1,54,5.75,1,1
5d8b7c00f6c3640019267f3b,5eaf5e17fc65f76590f73519,3f0b4178-05d8-414b-9b4e-1164daa6ca25,6,5,5,6,9,5,7,8,5,8,7,5,female,3,white,completed_high_school,1,39,4.375,1,1
5eaf5e17fc65f76590f73519,5d8b7c00f6c3640019267f3b,3f0b4178-05d8-414b-9b4e-1164daa6ca25,6,5,6,6,7,7,7,7,4,8,6,5,female,6,white,some_college,2,24,4.125,,1.666666667
5a73899f9cdd1800017786f0,5dd0103cb2204f108c201552,ce6c73db-32fd-4cd9-8015-bf09cc3c47a6,6,6,6,7,7,7,7,8,5,8,5,5,male,3,white,completed_high_school,1,34,4.875,,1
5dd0103cb2204f108c201552,5a73899f9cdd1800017786f0,ce6c73db-32fd-4cd9-8015-bf09cc3c47a6,7,7,6,6,7,7,6,7,6,6,5,5,female,4,asian,bachelors_degree,6,40,6,,1
5e4a1730c94447480594cea4,5f035993cc8d3253768d9804,98f5655b-9980-408a-b880-19e87cef1de8,4,4,4,6,6,5,6,6,5,7,6,5,female,6,white,bachelors_degree,1,33,4.625,2,1
5f035993cc8d3253768d9804,5e4a1730c94447480594cea4,98f5655b-9980-408a-b880-19e87cef1de8,5,4,5,7,7,7,8,6,5,7,6,5,male,4,asian,bachelors_degree,1,28,4.5,1.333333333,1.666666667
5ec5d393295d6e655f9842e4,5f053720c017078437e04818,afa4d802-a9ed-4b0b-a607-b5f16d899275,3,3,5,7,8,7,7,8,4,7,6,5,female,3,asian,bachelors_degree,1,23,4.875,,2
5f053720c017078437e04818,5ec5d393295d6e655f9842e4,afa4d802-a9ed-4b0b-a607-b5f16d899275,7,4,4,5,7,6,6,6,4,4,4,4,male,2,asian,bachelors_degree,1,39,4.875,,2.333333333
5e3309ad239ceb2d47d47c4a,5effc7a64495250cbb0d8de8,542a6af4-84f3-4681-80ce-fce29162efc1,8,8,,,,,,,,,,,,,,,,,,,
5effc7a64495250cbb0d8de8,5e3309ad239ceb2d47d47c4a,542a6af4-84f3-4681-80ce-fce29162efc1,5,5,6,5,7,7,6,6,4,7,5,5,male,3,asian,masters_degree,1,38,3.75,2,2
5e6cade3d92ffb26677dbd84,5f0fa78daeef1d18edccd806,d2f289b1-7243-40ad-a0a8-0696db65fc77,7,7,5,6,6,6,5,5,5,5,3,3,female,6,asian,bachelors_degree,1,23,3.875,,1
5f0fa78daeef1d18edccd806,5e6cade3d92ffb26677dbd84,d2f289b1-7243-40ad-a0a8-0696db65fc77,7,6,7,8,7,7,8,8,6,8,6,5,male,2,white,bachelors_degree,1,25,4.625,,1
5e6a418620befe00096983d2,5f113ec4c304894ad573296c,2699024b-93f4-48b8-ac08-3012274a47fa,5,5,5,7,9,8,9,9,6,9,7,7,female,4,white,masters_degree,4,47,5.25,,1.666666667
5f113ec4c304894ad573296c,5e6a418620befe00096983d2,2699024b-93f4-48b8-ac08-3012274a47fa,5,4,6,7,9,7,9,9,6,9,7,7,female,4,white,bachelors_degree,1,50,5.75,,2.666666667
5be05da9b5be300001e54be5,5de980f63d36b20b9068cfed,d9f18045-50ab-4584-9094-49bbedff4b72,6,6,5,5,5,5,5,5,5,5,4,4,female,6,asian,professional_degree,1,35,4,,2.666666667
5de980f63d36b20b9068cfed,5be05da9b5be300001e54be5,d9f18045-50ab-4584-9094-49bbedff4b72,7,7,8,8,8,8,8,9,8,9,7,7,female,3,white,some_high_school,4,43,4.75,,1
5ede3d2ef7c9f9068776c4d2,5f39c08c4b0c7456a60d4932,660c942e-6681-4f6f-9d9d-0aff9f2e5561,6,6,6,7,7,7,7,7,6,7,5,5,male,4,white,some_college,1,53,5.25,,1.333333333
5f39c08c4b0c7456a60d4932,5ede3d2ef7c9f9068776c4d2,660c942e-6681-4f6f-9d9d-0aff9f2e5561,5,3,6,7,8,7,8,7,6,8,6,4,female,4,white,bachelors_degree,1,53,2.75,,2
5ed9df4296035b58dce21946,5f67f123a9151c4484c6e1f4,f7fd5d51-95a8-4a62-a354-0d9f13e8bafe,7,4,7,8,7,3,7,8,7,8,4,4,female,4,asian,some_college,1,24,3.625,,1
5f67f123a9151c4484c6e1f4,5ed9df4296035b58dce21946,f7fd5d51-95a8-4a62-a354-0d9f13e8bafe,3,7,5,6,5,5,6,6,5,4,4,3,female,6,white,bachelors_degree,7,24,2.25,,1.333333333
5b7ca6161e35f0000172fa14,5e7f9714e74e0c66d2a04098,5c6f6632-c722-4041-9d36-5ada31c42471,7,8,4,9,9,9,9,9,7,9,7,7,female,4,white,associate_degree,1,44,6.75,,
5e7f9714e74e0c66d2a04098,5b7ca6161e35f0000172fa14,5c6f6632-c722-4041-9d36-5ada31c42471,7,8,8,9,8,8,8,9,9,8,7,7,male,4,asian,bachelors_degree,1,40,5.75,,
5ef831c97dcd65573bbb0649,5f557591aa1c4e950ba02f01,49f63fed-0f01-4c63-83a9-664b40da4ea8,6,3,7,7,7,6,7,7,7,7,6,5,male,4,white,bachelors_degree,2,23,4,,1
5f557591aa1c4e950ba02f01,5ef831c97dcd65573bbb0649,49f63fed-0f01-4c63-83a9-664b40da4ea8,7,7,7,7,7,7,7,7,6,6,5,5,female,6,white,bachelors_degree,1,32,3.5,,2
5dcb55b60133ef83a90f85ac,5f5c2d8dc6768e436b290d73,408ffd36-dc4a-4521-9349-7060ab14a6a7,3,3,3,5,6,6,5,6,4,6,6,3,female,4,white,bachelors_degree,1,30,2.875,,2
5f5c2d8dc6768e436b290d73,5dcb55b60133ef83a90f85ac,408ffd36-dc4a-4521-9349-7060ab14a6a7,7,6,7,6,7,7,8,7,6,7,6,5,female,4,mixed,bachelors_degree,1,22,4.125,,1
5a198755f2e3460001edc5c9,5f070947ea1cc729b610c462,4e458f60-1fa1-4584-aca1-5932319e5ba9,5,2,5,3,5,4,4,3,2,1,1,1,male,2,white,completed_high_school,1,32,1,,1
5f070947ea1cc729b610c462,5a198755f2e3460001edc5c9,4e458f60-1fa1-4584-aca1-5932319e5ba9,7,7,6,7,7,7,7,8,6,8,6,5,male,3,white,masters_degree,1,43,4,,1
5acba4a15cd10500016280ca,5ca6bbf13b5fcf00100996e9,56daf4e7-7a32-4131-af25-b5c71e61b6ce,6,6,6,5,5,5,5,5,4,3,4,4,male,4,white,associate_degree,6,32,4.625,1,1.666666667
5ca6bbf13b5fcf00100996e9,5acba4a15cd10500016280ca,56daf4e7-7a32-4131-af25-b5c71e61b6ce,9,9,7,7,7,7,7,7,7,7,5,5,male,3,white,associate_degree,1,55,4.875,1,1
5c43c90d5aca820001f73f6f,5ef6743fa4d98d36b3d86694,835e4c5f-883b-42f9-8e7b-d121d5d8997a,5,5,5,6,7,5,7,7,5,7,5,4,male,3,white,some_college,1,33,3.125,,1
5ef6743fa4d98d36b3d86694,5c43c90d5aca820001f73f6f,835e4c5f-883b-42f9-8e7b-d121d5d8997a,7,7,7,8,7,7,7,7,6,7,5,5,male,4,asian,some_college,7,20,3.875,,1.666666667
5d1554e28ecfae0017a026eb,5ed9df4296035b58dce21946,97087c78-d2a1-4959-b72a-80f858a0afac,7,3,7,7,7,7,7,7,7,7,5,5,male,3,white,bachelors_degree,1,29,4.125,1.333333333,2
5ed9df4296035b58dce21946,5d1554e28ecfae0017a026eb,97087c78-d2a1-4959-b72a-80f858a0afac,6,3,6,5,5,4,6,7,5,6,4,4,female,4,asian,some_college,3,24,4.125,1.333333333,1
5b66ce776f0d0400010d678d,5dd33bd8f01cbe3350807cf6,8fb541d2-030b-46ad-9b94-77b6989cd555,4,2,5,7,8,8,9,9,5,9,7,6,male,3,white,bachelors_degree,7,22,4.375,2,2
5dd33bd8f01cbe3350807cf6,5b66ce776f0d0400010d678d,8fb541d2-030b-46ad-9b94-77b6989cd555,6,5,5,6,9,6,7,9,5,9,7,6,male,2,white,bachelors_degree,5,40,6.125,2,1
5d84e353a954540015f51437,5eacd70006f95f33990e3df9,d074c4c0-0c24-4ac0-af5f-4ccdb2ab8f5f,8,8,9,8,8,8,8,8,6,9,7,7,female,2,white,some_college,7,56,5.875,3,2.333333333
5eacd70006f95f33990e3df9,5d84e353a954540015f51437,d074c4c0-0c24-4ac0-af5f-4ccdb2ab8f5f,6,3,5,7,5,6,6,7,6,7,5,4,male,3,white,completed_high_school,1,39,5.375,1.333333333,1
5c82a8cdfff8430015e9942f,5e790129bd76c94a7b3aa7b6,7c9458fd-c9f2-4b05-956c-33cd6c506d72,7,2,6,9,9,9,9,9,6,9,7,7,male,3,white,bachelors_degree,1,33,5.25,1,1
